ARTICULO;CORTE;FECHA;programa;PROCESO;BODEGA;SALDO;CORTE;TALLER;T.EXTERNO;LIMPIADO;LAVANDERIA;TERMINACION;MUESTRA;SEGUNDA;TALLER
01430100  ;00961230;22/01/2026;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;
01430100  ;00961251;26/02/2026;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;
01430100  ;00961259;10/03/2026;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;
01430100  ;00011585;26/03/2026;0000000;000652;000000; 00652; 000000; 000000; 000000; 000652; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01430200  ;00961229;21/01/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01430200  ;00961327;21/04/2026;0000005;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01430300  ;00961231;22/01/2026;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01430300  ;00961252;26/02/2026;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01430300  ;00961297;06/04/2026;0000000;000005;000000; 00005; 000000; 000005; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01430300  ;09613602;09/04/2026;0000000;000005;000000; 00005; 000000; 000005; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01430400  ;00961238;26/01/2026;0000000;000001;000001; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01430400  ;00961282;26/03/2026;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01430400  ;00961299;06/04/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
