ARTICULO;CORTE;FECHA;T.PRODUC;M1;PROGRAMA;PROCESO;BODEGA;SALDO;CORTE;TALLER;T.EXTERNO;LIMPIADO;LAVANDERIA;TERMINACION;MUESTRA;SEGUNDA;TALLER
01440100  ;00961385;12/06/2026;MUESTRAS;M2;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;
01440200  ;00961381;10/06/2026;MUESTRAS;M2;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;
01440600  ;00961386;12/06/2026;MUESTRAS;M2;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;
01441300  ;00961389;15/06/2026;MUESTRAS;M1;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;
01441400  ;00961387;12/06/2026;MUESTRAS;M2;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;
01441600  ;00961373;01/06/2026;MUESTRAS;M2;0000000;000001;000001; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;
01441600  ;00961382;11/06/2026;MUESTRAS;M2;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;
01441600  ;00961396;16/06/2026;MUESTRAS;M3;0000000;000001;000000; 00001; 000001; 000000; 000000; 000000; 000000; 000000; 000000;000000;
01441700  ;00961367;01/06/2026;MUESTRAS;M2;0000000;000001;000001; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;
01441700  ;00961376;08/06/2026;MUESTRAS;M1;0000000;000001;000001; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;
01441800  ;00011609;01/06/2026;PRODUCC;  ;0000000;000396;000000; 00396; 000000; 000000; 000000; 000000; 000396; 000000; 000000;000000;
01441900  ;00961384;12/06/2026;MUESTRAS;M2;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;
01442000  ;00961383;11/06/2026;MUESTRAS;M2;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;
01443000  ;00011610;03/06/2026;PRODUCC;  ;0000000;000604;000000; 00604; 000000; 000000; 000604; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01443000  ;00961375;08/06/2026;MUESTRAS;M1;0000000;000001;000001; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01443100  ;00961374;05/06/2026;MUESTRAS;M1;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01443100  ;00011611;05/06/2026;PRODUCC;  ;0000000;000600;000000; 00600; 000000; 000600; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01443200  ;00961377;09/06/2026;MUESTRAS;M1;0000000;000001;000001; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01443300  ;00961378;09/06/2026;MUESTRAS;M1;0000000;000001;000001; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01443400  ;00961380;10/06/2026;MUESTRAS;M2;0000000;000001;000001; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01443400  ;00011614;10/06/2026;PRODUCC;  ;0000000;000500;000000; 00500; 000000; 000000; 000500; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01443500  ;00961388;15/06/2026;MUESTRAS;M1;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01443600  ;00961390;16/06/2026;MUESTRAS;M1;0000000;000001;000000; 00001; 000001; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01443700  ;00961391;16/06/2026;MUESTRAS;M1;0000000;000001;000000; 00001; 000001; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01443800  ;00961394;16/06/2026;MUESTRAS;M1;0000001;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01443900  ;00961395;16/06/2026;MUESTRAS;M1;0000001;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01444000  ;00961392;16/06/2026;MUESTRAS;M1;0000001;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01444100  ;00961393;16/06/2026;MUESTRAS;M1;0000001;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
03446900  ;00961397;16/06/2026;MUESTRAS;M2;0000000;000001;000000; 00001; 000001; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
