ARTICULO;CORTE;FECHA;programa;PROCESO;BODEGA;SALDO;CORTE;TALLER;T.EXTERNO;LIMPIADO;LAVANDERIA;TERMINACION;MUESTRA;SEGUNDA;TALLER
01420100  ;00011507;18/11/2025;0000000;000562;000553; 00009; 000000; 000000; 000000; 000000; 000000; 000009; 000000;000000;
01420100  ;00011550;21/01/2026;0000000;000520;000519; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01420100  ;00011553;02/02/2025;0000000;000497;000496; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01420200  ;00011514;25/11/2025;0000000;000506;000501; 00005; 000000; 000000; 000000; 000000; 000000; 000005; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01420200  ;00011566;04/03/2026;0000000;000405;000000; 00405; 000000; 000000; 000000; 000405; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01420300  ;00011571;13/03/2026;0000000;000466;000000; 00466; 000000; 000000; 000466; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01420400  ;00961185;04/12/2025;0000000;000004;000000; 00004; 000000; 000000; 000000; 000000; 000004; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01420400  ;00961197;13/02/2025;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01420400  ;00011542;13/12/2025;0000000;000506;000503; 00003; 000000; 000000; 000000; 000000; 000001; 000002; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01420400  ;00011567;05/03/2026;0000000;000400;000000; 00400; 000000; 000400; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
